Datetime,SecondsFromBeginning,HX_flowsignal,XF_flowsignal,PL_flowsignal,CW_flowsignal,Totalflow
1975-07-24 00:01:00,60,0,0,0,0,0
1975-07-24 00:02:00,120,0,0,0,0,0
1975-07-24 00:03:00,180,0,0,0,0,0
1975-07-24 00:04:00,240,0,0,0,0,0
1975-07-24 00:05:00,300,0,0,0,0,0
1975-07-24 00:06:00,360,0,0,0,0,0
1975-07-24 00:07:00,420,0,0,0,0,0
1975-07-24 00:08:00,480,0,0,0,0,0
1975-07-24 00:09:00,540,0,0,0,0,0
1975-07-24 00:10:00,600,0,0,0,0,0
1975-07-24 00:11:00,660,0,0,0,0,0
1975-07-24 00:12:00,720,0,0,0,0,0
1975-07-24 00:13:00,780,0,0,0,0,0
1975-07-24 00:14:00,840,0,0,0,0,0
1975-07-24 00:15:00,900,0,0,0,0,0
1975-07-24 00:16:00,960,0,0,0,0,0
1975-07-24 00:17:00,1020,0,0,0,0,0
1975-07-24 00:18:00,1080,0,0,0,0,0
1975-07-24 00:19:00,1140,0,0,0,0,0
1975-07-24 00:20:00,1200,0,0,0,0,0
1975-07-24 00:21:00,1260,0,0,0,0,0
1975-07-24 00:22:00,1320,0,0,0,0,0
1975-07-24 00:23:00,1380,0,0,0,0,0
1975-07-24 00:24:00,1440,0,0,0,0,0
1975-07-24 00:25:00,1500,0,0,0,0,0
1975-07-24 00:26:00,1560,0,0,0,0,0
1975-07-24 00:27:00,1620,0,0,0,0,0
1975-07-24 00:28:00,1680,0,0,0,0,0
1975-07-24 00:29:00,1740,0,0,0,0,0
1975-07-24 00:30:00,1800,0,0,0,0,0
1975-07-24 00:31:00,1860,0,0,0,0,0
1975-07-24 00:32:00,1920,0,0,0,0,0
1975-07-24 00:33:00,1980,0,0,0,0,0
1975-07-24 00:34:00,2040,0,0,0,0,0
1975-07-24 00:35:00,2100,0,0,0,0,0
1975-07-24 00:36:00,2160,0,0,0,0,0
1975-07-24 00:37:00,2220,0,0,0,0,0
1975-07-24 00:38:00,2280,0,0,0,0,0
1975-07-24 00:39:00,2340,0,0,0,0,0
1975-07-24 00:40:00,2400,0,0,0,0,0
1975-07-24 00:41:00,2460,0,0,0,0,0
1975-07-24 00:42:00,2520,0,0,0,0,0
1975-07-24 00:43:00,2580,0,0,0,0,0
1975-07-24 00:44:00,2640,0,0,0,0,0
1975-07-24 00:45:00,2700,0,0,0,0,0
1975-07-24 00:46:00,2760,0,0,0,0,0
1975-07-24 00:47:00,2820,0,0,0,0,0
1975-07-24 00:48:00,2880,0,0,0,0,0
1975-07-24 00:49:00,2940,0,0,0,0,0
1975-07-24 00:50:00,3000,0,0,0,0,0
1975-07-24 00:51:00,3060,0,0,0,0,0
1975-07-24 00:52:00,3120,0,0,0,0,0
1975-07-24 00:53:00,3180,0,0,0,0,0
1975-07-24 00:54:00,3240,0,0,0,0,0
1975-07-24 00:55:00,3300,0,0,0,0,0
1975-07-24 00:56:00,3360,0,0,0,0,0
1975-07-24 00:57:00,3420,0,0,0,0,0
1975-07-24 00:58:00,3480,0,0,0,0,0
1975-07-24 00:59:00,3540,0,0,0,0,0
1975-07-24 01:00:00,3600,0,0,0,0,0
1975-07-24 01:01:00,3660,0,0,0,0,0
1975-07-24 01:02:00,3720,0,0,0,0,0
1975-07-24 01:03:00,3780,0,0,0,0,0
1975-07-24 01:04:00,3840,0,0,0,0,0
1975-07-24 01:05:00,3900,0,0,0,0,0
1975-07-24 01:06:00,3960,0,0,0,0,0
1975-07-24 01:07:00,4020,0,0,0,0,0
1975-07-24 01:08:00,4080,0,0,0,0,0
1975-07-24 01:09:00,4140,0,0,0,0,0
1975-07-24 01:10:00,4200,0,0,0,0,0
1975-07-24 01:11:00,4260,0,0,0,0,0
1975-07-24 01:12:00,4320,0,0,0,0,0
1975-07-24 01:13:00,4380,0,0,0,0,0
1975-07-24 01:14:00,4440,0,0,0,0,0
1975-07-24 01:15:00,4500,0,0,0,0,0
1975-07-24 01:16:00,4560,0,0,0,0,0
1975-07-24 01:17:00,4620,0,0,0,0,0
1975-07-24 01:18:00,4680,0,0,0,0,0
1975-07-24 01:19:00,4740,0,0,0,0,0
1975-07-24 01:20:00,4800,0,0,0,0,0
1975-07-24 01:21:00,4860,0,0,0,0,0
1975-07-24 01:22:00,4920,0,0,0,0,0
1975-07-24 01:23:00,4980,0,0,0,0,0
1975-07-24 01:24:00,5040,0,0,0,0,0
1975-07-24 01:25:00,5100,0,0,0,0,0
1975-07-24 01:26:00,5160,0,0,0,0,0
1975-07-24 01:27:00,5220,0,0,0,0,0
1975-07-24 01:28:00,5280,0,0,0,0,0
1975-07-24 01:29:00,5340,0,0,0,0,0
1975-07-24 01:30:00,5400,0,0,0,0,0
1975-07-24 01:31:00,5460,0,0,0,0,0
1975-07-24 01:32:00,5520,0,0,0,0,0
1975-07-24 01:33:00,5580,0,0,0,0,0
1975-07-24 01:34:00,5640,0,0,0,0,0
1975-07-24 01:35:00,5700,0,0,0,0,0
1975-07-24 01:36:00,5760,0,0,0,0,0
1975-07-24 01:37:00,5820,0,0,0,0,0
1975-07-24 01:38:00,5880,0,0,0,0,0
1975-07-24 01:39:00,5940,0,0,0,0,0
1975-07-24 01:40:00,6000,0,0,0,0,0
1975-07-24 01:41:00,6060,0,0,0,0,0
1975-07-24 01:42:00,6120,0,0,0,0,0
1975-07-24 01:43:00,6180,0,0,0,0,0
1975-07-24 01:44:00,6240,0,0,0,0,0
1975-07-24 01:45:00,6300,0,0,0,0,0
1975-07-24 01:46:00,6360,0,0,0,0,0
1975-07-24 01:47:00,6420,0,0,0,0,0
1975-07-24 01:48:00,6480,0,0,0,0,0
1975-07-24 01:49:00,6540,0,0,0,0,0
1975-07-24 01:50:00,6600,0,0,0,0,0
1975-07-24 01:51:00,6660,0,0,0,0,0
1975-07-24 01:52:00,6720,0,0,0,0,0
1975-07-24 01:53:00,6780,0,0,0,0,0
1975-07-24 01:54:00,6840,0,0,0,0,0
1975-07-24 01:55:00,6900,0,0,0,0,0
1975-07-24 01:56:00,6960,0,0,0,0,0
1975-07-24 01:57:00,7020,0,0,0,0,0
1975-07-24 01:58:00,7080,0,0,0,0,0
1975-07-24 01:59:00,7140,0,0,0,0,0
1975-07-24 02:00:00,7200,0,0,0,0,0
1975-07-24 02:01:00,7260,0,0,0,0,0
1975-07-24 02:02:00,7320,0,0,0,0,0
1975-07-24 02:03:00,7380,0,0,0,0,0
1975-07-24 02:04:00,7440,0,0,0,0,0
1975-07-24 02:05:00,7500,0,0,0,0,0
1975-07-24 02:06:00,7560,0,0,0,0,0
1975-07-24 02:07:00,7620,0,0,0,0,0
1975-07-24 02:08:00,7680,0,0,0,0,0
1975-07-24 02:09:00,7740,0,0,0,0,0
1975-07-24 02:10:00,7800,0,0,0,0,0
1975-07-24 02:11:00,7860,0,0,0,0,0
1975-07-24 02:12:00,7920,0,0,0,0,0
1975-07-24 02:13:00,7980,0,0,0,0,0
1975-07-24 02:14:00,8040,0,0,0,0,0
1975-07-24 02:15:00,8100,0,0,0,0,0
1975-07-24 02:16:00,8160,0,0,0,0,0
1975-07-24 02:17:00,8220,0,0,0,0,0
1975-07-24 02:18:00,8280,0,0,0,0,0
1975-07-24 02:19:00,8340,0,0,0,0,0
1975-07-24 02:20:00,8400,0,0,0,0,0
1975-07-24 02:21:00,8460,0,0,0,0,0
1975-07-24 02:22:00,8520,0,0,0,0,0
1975-07-24 02:23:00,8580,0,0,0,0,0
1975-07-24 02:24:00,8640,0,0,0,0,0
1975-07-24 02:25:00,8700,0,0,0,0,0
1975-07-24 02:26:00,8760,0,0,0,0,0
1975-07-24 02:27:00,8820,0,0,0,0,0
1975-07-24 02:28:00,8880,0,0,0,0,0
1975-07-24 02:29:00,8940,0,0,0,0,0
1975-07-24 02:30:00,9000,0,0,0,0,0
1975-07-24 02:31:00,9060,0,0,0,0,0
1975-07-24 02:32:00,9120,0,0,0,0,0
1975-07-24 02:33:00,9180,0,0,0,0,0
1975-07-24 02:34:00,9240,0,0,0,0,0
1975-07-24 02:35:00,9300,0,0,0,0,0
1975-07-24 02:36:00,9360,0,0,0,0,0
1975-07-24 02:37:00,9420,0,0,0,0,0
1975-07-24 02:38:00,9480,0,0,0,0,0
1975-07-24 02:39:00,9540,0,0,0,0,0
1975-07-24 02:40:00,9600,0,0,0,0,0
1975-07-24 02:41:00,9660,0,0,0,0,0
1975-07-24 02:42:00,9720,0,0,0,0,0
1975-07-24 02:43:00,9780,0,0,0,0,0
1975-07-24 02:44:00,9840,0,0,0,0,0
1975-07-24 02:45:00,9900,0,0,0,0,0
1975-07-24 02:46:00,9960,0,0,0,0,0
